k,ratio
4,0.5
4,0.5
4,0.5
4,0.500127289606961
4,0.5033961312773897
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5000180973602473
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5014804312667401
4,0.5051042487193026
4,0.5
4,0.5059233188296984
4,0.504185161637304
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5186170585525042
4,0.5
4,0.5024413203439049
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5043940436876255
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5082376420839059
4,0.5
4,0.5
4,0.5000648364209915
4,0.5
4,0.5
4,0.5
4,0.5008499390614412
4,0.5
4,0.500090551829567
4,0.5
4,0.5
4,0.5012870700755969
4,0.5000773232736737
4,0.5
4,0.5007251119443434
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
